"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,4.465347410E-1
4.687500000E1,4.932220262E-1
7.031250000E1,5.722006248E-1
9.375000000E1,1.171800760E0
1.171875000E2,6.158816694E-1
1.406250000E2,8.910133805E-1
1.640625000E2,6.062336884E-1
1.875000000E2,3.532961016E-1
2.109375000E2,2.341833514E-1
2.343750000E2,3.831104159E-1
2.578125000E2,1.893103988E0
2.812500000E2,4.581277150E-1
3.046875000E2,1.489384033E0
3.281250000E2,4.000477303E0
3.515625000E2,2.448860942E0
3.750000000E2,1.014304303E0
3.984375000E2,1.912191253E0
4.218750000E2,2.024364912E0
4.453125000E2,2.982109445E0
4.687500000E2,1.276841345E0
4.921875000E2,7.004069798E-1
5.156250000E2,5.673699399E-1
5.390625000E2,9.423628222E-1
5.625000000E2,1.289997034E0
5.859375000E2,5.131366331E-1
6.093750000E2,5.368625887E-1
6.328125000E2,7.258561078E-1
6.562500000E2,9.175755558E-1
6.796875000E2,9.515710632E-1
7.031250000E2,4.382388525E-1
7.265625000E2,1.926031300E-1
7.500000000E2,3.006976701E-1
7.734375000E2,4.710454802E-1
7.968750000E2,1.775732033E-1
8.203125000E2,1.330848937E-1
8.437500000E2,1.808046244E-1
8.671875000E2,1.047592513E-1
8.906250000E2,1.929424408E-1
9.140625000E2,3.234418528E-1
9.375000000E2,1.025339339E-1
9.609375000E2,1.656732558E-1
9.843750000E2,3.592181494E-1
1.007812500E3,1.659317035E-1
1.031250000E3,4.586282012E-2
1.054687500E3,2.402109777E-1
1.078125000E3,1.299528843E-1
1.101562500E3,2.491664734E-1
1.125000000E3,1.544034595E-1
1.148437500E3,8.724406985E-2
1.171875000E3,1.903232484E-1
1.195312500E3,2.206067497E-1
1.218750000E3,2.285475443E-1
1.242187500E3,7.322336919E-2
1.265625000E3,1.256807437E-1
1.289062500E3,9.278803874E-2
1.312500000E3,1.996847361E-1
1.335937500E3,5.142811588E-2
1.359375000E3,3.437499631E-2
1.382812500E3,9.891035728E-2
1.406250000E3,1.123377537E-1
1.429687500E3,1.324922831E-1
1.453125000E3,1.548298503E-1
1.476562500E3,1.191148284E-1
1.500000000E3,1.488874618E-1
1.523437500E3,6.600932432E-2
1.546875000E3,1.690291561E-1
1.570312500E3,1.442641811E-1
1.593750000E3,6.506620327E-2
1.617187500E3,9.249161761E-2
1.640625000E3,2.552529134E-1
1.664062500E3,1.189426695E-1
1.687500000E3,4.048039969E-2
1.710937500E3,4.976276977E-2
1.734375000E3,1.495158498E-1
1.757812500E3,1.162660560E-1
1.781250000E3,1.935546249E-2
