Opponent,0,1,2
Opponent259,1.0,0.0,0.0
Opponent26,1.0,0.0,0.0
Opponent260,0.0,1.0,0.0
Opponent261,1.0,0.0,0.0
Opponent262,0.0,0.0,1.0
Opponent263,1.0,0.0,0.0
Opponent264,1.0,0.0,0.0
Opponent265,1.0,0.0,0.0
Opponent266,0.0,0.0,1.0
Opponent267,0.0,0.0,1.0
Opponent268,1.0,0.0,0.0
Opponent269,0.0,1.0,0.0
Opponent27,0.0,1.0,0.0
Opponent270,1.0,0.0,0.0
Opponent271,1.0,0.0,0.0
Opponent272,1.0,0.0,0.0
Opponent273,1.0,0.0,0.0
Opponent274,1.0,0.0,0.0
Opponent275,1.0,0.0,0.0
Opponent276,0.0,0.0,1.0
Opponent277,0.0,0.0,1.0
Opponent278,1.0,0.0,0.0
Opponent279,0.0,1.0,0.0
Opponent28,1.0,0.0,0.0
Opponent280,0.0,0.0,1.0
Opponent281,0.0,0.0,1.0
Opponent282,1.0,0.0,0.0
Opponent283,1.0,0.0,0.0
Opponent284,1.0,0.0,0.0
Opponent285,1.0,0.0,0.0
Opponent286,1.0,0.0,0.0
Opponent287,1.0,0.0,0.0
Opponent288,0.0,0.0,1.0
Opponent289,0.0,0.0,1.0
Opponent29,1.0,0.0,0.0
Opponent290,1.0,0.0,0.0
Opponent291,0.0,0.0,1.0
Opponent292,0.0,0.0,1.0
Opponent293,1.0,0.0,0.0
Opponent294,1.0,0.0,0.0
Opponent295,1.0,0.0,0.0
Opponent296,1.0,0.0,0.0
Opponent297,1.0,0.0,0.0
Opponent298,1.0,0.0,0.0
Opponent299,1.0,0.0,0.0
Opponent3,0.0,0.0,1.0
Opponent30,1.0,0.0,0.0
Opponent300,0.0,0.0,1.0
Opponent301,0.0,0.0,1.0
Opponent302,0.0,0.0,1.0
Opponent31,1.0,0.0,0.0
Opponent32,1.0,0.0,0.0
Opponent33,1.0,0.0,0.0
Opponent34,1.0,0.0,0.0
Opponent35,1.0,0.0,0.0
Opponent36,1.0,0.0,0.0
Opponent37,1.0,0.0,0.0
Opponent38,1.0,0.0,0.0
Opponent39,1.0,0.0,0.0
Opponent4,1.0,0.0,0.0
Opponent40,1.0,0.0,0.0
Opponent41,0.0,0.0,1.0
Opponent42,1.0,0.0,0.0
Opponent43,0.0,0.0,1.0
Opponent44,0.0,0.0,1.0
Opponent45,1.0,0.0,0.0
Opponent46,0.0,1.0,0.0
Opponent47,1.0,0.0,0.0
Opponent48,1.0,0.0,0.0
Opponent49,0.0,1.0,0.0
Opponent5,1.0,0.0,0.0
Opponent50,0.0,1.0,0.0
Opponent51,1.0,0.0,0.0
Opponent52,0.0,0.0,1.0
Opponent53,0.0,0.0,1.0
Opponent54,0.0,0.0,1.0
Opponent55,1.0,0.0,0.0
Opponent56,1.0,0.0,0.0
Opponent57,1.0,0.0,0.0
Opponent58,1.0,0.0,0.0
Opponent59,1.0,0.0,0.0
Opponent6,1.0,0.0,0.0
Opponent60,1.0,0.0,0.0
Opponent61,0.0,1.0,0.0
Opponent62,1.0,0.0,0.0
Opponent63,1.0,0.0,0.0
Opponent64,0.0,0.0,1.0
Opponent65,1.0,0.0,0.0
Opponent66,1.0,0.0,0.0
Opponent67,1.0,0.0,0.0
Opponent68,1.0,0.0,0.0
Opponent69,1.0,0.0,0.0
Opponent7,1.0,0.0,0.0
Opponent70,1.0,0.0,0.0
Opponent71,1.0,0.0,0.0
Opponent72,1.0,0.0,0.0
Opponent73,1.0,0.0,0.0
Opponent74,1.0,0.0,0.0
Opponent75,1.0,0.0,0.0
Opponent76,1.0,0.0,0.0
Opponent77,1.0,0.0,0.0
Opponent78,1.0,0.0,0.0
Opponent79,0.0,0.0,1.0
