year,id,name,branch,genre,cityname,area,location,path,lng,lat,pricelevel,star,taste,environment,service,comments,tags,dishs,groupon,delivery,open_year,survival
2021,11,清真中国兰州拉面,,小吃快餐,上海,嘉定区,金通路与金润路交叉口旁东100米,距地铁11号线南翔站1号口步行1.4km,121.326481,31.292554,50to100,3.4,3.5,3.4,3.5,13,学生党吃饭_早餐_干净卫生_人均30以内_人均50以内,黄瓜炒蛋盖浇饭_1|牛肉炒面片_1|牛肉烩面_1|牛肉烩面片_1|凉拌牛肉_1|牛肉炒拉面_2|青菜炒饭_2|黄瓜炒蛋盖浇面_1|新疆拌面_2|青菜拉面_1|土豆牛肉盖浇面_1|青椒炒蛋盖浇饭_2|,0,0,2016,1
2021,12,尚速大食堂,奉浦店,小吃快餐,上海,奉贤区,南桥镇奉浦工业区韩村路498号,距地铁5号线奉浦大道站2号口步行1.4km,121.456174,30.942205,50to100,3.4,3.3,3.4,3.4,73,古色古香_午市可用_免预约_3-4人餐_停车免费,大马哈鱼_1|土豆丝盖饭_1|豪华全餐煎饼_3|干锅鸡块_1|红烧青占鱼_1|凉拌毛豆鸡胗_2|包菜粉丝_1|啤酒鸭_4|咸肉冬瓜_2|清炒藕片_2|茭白毛豆肉丝_1|玉米_2|肉沫河鲫鱼_3|干锅红烧肉_1|肉松_2|回锅肉_1|小炒鸭血_3|肉沫刀豆_1|凉拌酸辣木耳_3|粉蒸排骨_1|,0,1,2014,1
2021,13,东北菜,第六区折扣店,小吃快餐,上海,宝山区,高境镇殷高西路333号第六区折扣中心西区B1层,位于长江国际商业购物中心西区内,121.46733799999998,31.322605,50to100,3.7,3.6,3.6,3.6,21,有沙发位_有宝宝椅_楼宇餐厅_人均30以内_免费wifi,葱爆羊肉_1|锅包肉_7|酸菜炖拆骨肉_5|小鸡炖蘑菇_5|孜然炒肉皮_1|肉沫茄子_1|特色椒麻鸡块_3|韭菜炒鸡蛋_2|孜然肉片_3|麻酱拉皮_1|干炸鲜蘑_3|黄蘑土豆片_2|,0,0,2016,0
2021,14,翠堤春晓,,小吃快餐,上海,崇明区,绿港村堡镇1068号1F,,121.221241,31.734716,50to100,3.6,3.6,3.6,3.6,24,高大上_复古_有包厢_有大桌_人均30以内,扁豆烧芋艿_2|蚌肉老豆腐_2|咸菜银鱼蛋饼_4|茄块洋扁豆_2|农家鸡_3|蒜泥空心菜_1|崇明糕_22|鱼头汤_1|草头饼_1|红烧肉烧蛋_1|茄丝毛豆白虾_1|清蒸崇明蟹_1|,0,0,2017,1
2021,15,鳗鳗丼,环贸店,小吃快餐,上海,徐汇区,淮海中路环贸广场999号6楼607,距地铁1/12号线陕西南路站出入口步行270m,121.453894,31.217696000000004,50to100,3.8,3.8,3.8,3.9,221,美团充电宝,银鳕鹅肝丼_8|鳗鱼四吃_6|茶泡鳗鱼饭_15|芥末章鱼_7|裙带莱味增汤_25|鳗鱼双拼_15|五花肉dong_47|招牌Book薄烧鳗鱼饭套餐_221|日式拉面_6|炙烧牛五花套餐_175|牛五花定食_181|招牌Book蒲烧鳗鱼饭_99|鳗鱼炒饭_20|玫瑰岩盐白烧鳗鱼饭_6|烤五花肉丼_1|可尔必思_5|盐烤三文鱼头_4|牛油果蒲烧鳗鱼火山丼饭_1|鳗鱼茶泡饭_1|烤鳕鱼_1|京葱鸡肉串烧_5|姜片_2|牛肉丼_3|昆布味增汤_1|鳗蒲烧牛豚饭_1|灸烧牛五花套餐_1|玫瑰盐岩白烧鳗鱼饭_1|咖喱鳗鱼饭_2|蔬菜沙拉_1|姜汁豚肉饭_1|糖姜_1|,0,0,2019,0
2021,16,明呈黄鱼面馆,古宜店,小吃快餐,上海,徐汇区,古宜路186号,距地铁3/4/9号线宜山路站5号口步行320m,121.419447,31.189993,50to100,4.3,4.5,3.9,3.9,1405,商务宴请_免费wifi_牛蛙面_口味赞,酱爆牛蛙面_46|黄鱼蛤蜊面_31|辣酱_31|咸菜黄鱼拌面_24|鳝丝面_18|大肠面_25|炸猪排_138|黄鱼春卷_125|小胃口黄鱼面_449|蛏子面_68|三大荤拌面_77|素鸡_9|腰花面_8|番茄猪肝汤_1|椒盐虾_2|黄鱼虾仁面_2|凉拌黄瓜_1|炒鳝丝_2|青菜肉丝汤面_2|鸡丁面_1|葱油虾仁蛏子蛤蜊拌面_12|酱爆猪肝_13|花菜肉丝_1|椒盐排条_1|特色三大晕面_2|炒大肠_9|辣肉面_7|舟山野生小黄鱼面_2|鲜黄鱼汤_2|圈子浇头_2|猪肝面_10|雪菜肉丝面_6|虾仁拌面_1|牛蛙蛤蜊蛏子面_1|黄鱼大虾面_3|炸鱼_5|番茄炒蛋_1|猪肝浇头_10|招牌黃魚麵_16|辣肉浇头_2|炒肝面_1|,0,1,2016,0
2021,17,佬街佬味,天钥桥路店,小吃快餐,上海,徐汇区,天钥桥路98-2号,距地铁1/9/11号线徐家汇站10号口步行490m,121.436983,31.194276,50to100,3.9,4,4,3.9,700,快速方便_请客_回头客多_沿街餐厅_有萌宠,盐水鸭_30|百叶结_40|辣酱_5|酱花生_2|猪脚_2|酱香黄瓜_36|素鸭_17|腐竹_2|叉烧_2|牛肚_6|金瓜丝_10|卤带鱼_3|三黄鸡_2|酱牛肉_105|本帮酱鸭_13|猪耳朵_24|豆腐干_5|烤麸_5|盐水鸡_2|油爆虾_2|核桃司康_1|枣糕_1|熏鱼_52|佬味贡鹅_41|咸鱼花生_4|鸭舌_4|红烧猪蹄_6|酸辣去骨鸭爪_43|白切羊肉_2|蒜香去骨鸡爪_2|手撕鸡_218|茶树菇_18|鸡蛋干_18|佬味酱鸭_3|糖醋小排_2|土豆色拉_103|盐水牛肉_9|酸辣海带丝_6|苔条花生_2|椒麻鸡_2|大红肠_57|虎皮凤爪_56|走油肉_4|猪肚_4|大闸蟹_1|萝卜干_14|香辣牛蛙_9|鱿鱼圈_5|猪头肉_4|目鱼_1|,0,1,2016,1
2021,18,幸福小厨,打虎山路店,小吃快餐,上海,杨浦区,打虎山路2号,距地铁8号线鞍山新村站3号口步行590m,121.506886,31.270896,50to100,3.7,3.6,3.5,3.6,67,服务热情_牛肉面_沿街餐厅_性价比高_中餐,玉米烙_8|酸汤肥牛_5|三鲜鱼面筋_3|韩国风味牛排_2|炝花生_1|泼辣鱼片_7|椒盐牛蛙_8|京葱肥牛_2|双色花菜_2|番茄炒蛋_1|水煮鱼片_1|小葱爆肥牛_4|心太软_3|香辣年糕虾_2|干锅土豆_1|富贵小牛排_7|云吞剁椒鱼头_7|特色干锅鱼头_2|西芹百合_3|牛肉锅仔_1|酸辣土豆丝_1|特色煎馄饨_3|咸蛋黄排条_2|酒酿小圆子_1|外婆醉鱼_2|幸福小炒_2|葱油拌面_2|秘制红烧肉_2|鲜奶炒虾仁_2|妙香金排骨_2|德国脆皮咸蹄髈_2|松子鲈鱼_6|干锅茶树菇_4|鹹蛋黃冬瓜_2|麻辣豆腐_2|酸汤牛蛙_7|土匪猪肝_2|浦东三黄鸡_2|,0,0,2012,1
2021,19,胖子烧烤麻辣烫,,小吃快餐,上海,浦东新区,南桥路与妙境路交叉口东南50米,距地铁2号线川沙站2号口步行780m,121.687875,31.189042,50to100,3.5,3.8,3.7,3.7,60,沿街餐厅_人均30以内_重口味_人均50以内_学生党吃饭,麻辣烫包心鱼丸_2|韭菜_2|米线_1|麻辣烫小青菜_1|麻辣烫燕饺_1|麻辣烫鸭肝_1|大羊肉串_3|麻辣烫油面筋_3|麻辣烫海带丝_1|麻辣烫厚百叶_1|麻辣烫墨鱼丸_1|麻辣烫海带结_2|锡纸鸡蛋豆腐_2|烤素鸡_1|麻辣烫鱼豆腐_1|中翅_11|麻辣烫茼蒿菜_1|大辣椒_1|麻辣烫金针菇_1|麻辣烫绿豆芽_1|花椒_1|麻辣烫老豆腐_1|鸡肉排_1|麻辣烫笋尖_1|麻辣烫土豆_1|螺丝肉_1|豆皮卷金针菇_1|肥五花肉_4|千张包香菜_2|鸡爪_1|培根包金针菇_1|奶香馒头_5|百威啤酒_2|锡纸海鲜菇_1|羊腰子_1|骨肉相连_8|麻辣烫萝卜丸_1|麻辣烫鸭血_3|,0,1,2016,1
2021,20,肥汁米蘭香港米线,浦东嘉里城店,小吃快餐,上海,浦东新区,花木路1378号浦东嘉里城B106b,距地铁7号线花木路站1号口步行30m,121.559143,31.214295,50to100,3.9,3.9,3.9,4,1356,可拼桌_美团充电宝_可停车_网红店_有WIFI,蟹柳棒_60|牛筋丸_39|冻柠乐_13|豆皮_3|满满的配菜_2|薏米水_14|豆芽_16|贡丸_2|竹笙_2|浓汤鱼汁小锅米线_149|浓汤鱼汁米线_10|牛舌_8|QQ鱼柱_1|加香菜_1|肥牛_75|咸柠七_36|牛百叶_22|海带丝_3|山楂柠茶_3|豆腐衣_1|腐竹_114|午餐肉_113|鹅肾_4|牛筋_4|萝卜_347|咔吱鱼皮_408|生菜_12|韭菜_15|山楂蜜_1|红肠_149|鱼丸_20|招牌炸酱小锅薯粉_12|猪肝_1|蟹黄包_1|肥肠_135|鸡鸭血_123|豚骨上汤小锅米线_5|卤蛋_8|冻柠茶_157|火腿_42|鱼豆腐_17|可乐_7|鱼肠_1|招牌炸酱小锅米线_724|娃娃菜_47|牛腩_35|百香果饮品_10|鱼皮特写_2|黑木耳_1|,0,0,2020,1
