Rank,Name,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of Oxford,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of Technology,94.5,92.1,97.2,97.9,88,82.5
3,University of Cambridge,94.4,91.4,98.7,95.8,59.3,95
4,Stanford University,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of Technology,93.6,90.5,92.4,99.5,86.9,89
6,Princeton University,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard University, 93,89.2,98.6,99.1,47.3,76.3
8,Yale University,91.7,92,94.8,97.3,52.4,68.7
9,University of Chicago,90.2,89.1,91.4,96.7,52.7,76
10,Imperial College London, 89.8,84.5,87.6,97,69.9,97.1
11,University of Pennsylvania,89.6,87.5,90.4,98.2,74,65
12,Johns Hopkins University,89.2,81.7,91.4,98.3,91.3,73.2
13,University of California，Berkeley,88.3,83,90.6,99.2,46.1,70.4
13,ETH Zurich,88.3,81.8,92.8,90.3,56.8,98.2
15,UCL,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia University,87,85.6,82.6,98.2,44.8,79.3
17,University of California，LA,86.8,83.1,88.6,97.3,51.3,64.1
18,University of Toronto,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell University,85.1,79.7,86,96.6,37.1,73.4
20,Duke University,84,82.4,76.8,97,99.9,61.5
                            
                            
                            
                            
                            
                            
                           
                            
                            
                           
                            
                            
                            
                            
                           
                            
                            
                            
                           
                            
