Nb of jobs 56 Nb of Machines 12
Solution
设备编号         零件编号         工序标号         开始时间         结束时间        
L1           39           3            699          1011        
L1           3            9            1379         1491        
L1           3            10           1491         1536        
L1           7            14           1733         1741        
L1           7            15           1741         1749        
L1           1            9            1841         1953        
L1           2            9            1953         2065        
L1           2            10           2065         2110        
L1           1            10           2110         2155        
L1           4            9            2155         2267        
L1           4            10           2267         2312        
L1           31           6            2312         2390        
LX1          19           5            250          418         
LX1          17           4            418          454         
LX1          27           4            454          634         
LX1          5            7            634          646         
LX1          17           5            646          691         
LX1          53           5            691          781         
LX1          53           6            781          793         
LX1          37           4            793          823         
LX1          38           5            823          853         
LX1          38           6            853          889         
LX1          23           9            889          901         
LX1          46           4            901          907         
LX1          44           2            907          919         
LX1          17           10           990          1002        
LX1          11           6            1029         1048        
LX1          46           6            1048         1085        
LX1          7            10           1121         1429        
LX1          7            11           1429         1519        
LX1          9            5            1519         1535        
LX1          28           7            1535         1558        
LX1          55           7            1558         1633        
LX1          21           9            1633         1655        
LX1          9            6            1655         1674        
LX1          51           4            1674         1680        
LX1          5            11           1684         1774        
LX1          35           7            1774         1930        
LX1          5            17           1930         1936        
LX1          51           6            1936         1972        
LX1          50           2            1972         1995        
LX1          55           8            1995         2070        
LX1          56           7            2070         2145        
LX1          8            11           2156         2246        
LX1          13           7            2246         2258        
LX1          8            13           2282         2294        
LX1          8            17           2320         2326        
LX1          29           8            2326         2422        
LX1          6            10           2422         2730        
LX1          18           8            2730         2758        
LX1          18           9            2758         2773        
LX1          18           10           2773         2785        
LX1          22           8            2785         2866        
LX1          6            14           2868         2876        
LX1          6            16           2884         2894        
LX1          20           6            2894         3111        
LX1          31           8            3111         3134        
LX1          20           8            3135         3165        
LX1          24           7            3165         3199        
LX1          12           5            3199         3215        
LX1          12           6            3215         3234        
LX1          10           6            3252         3271        
LX1          37           7            3271         3721        
LX1          10           7            3721         3733        
LX1          25           5            3733         3781        
LX1          15           6            3781         3800        
LX2          39           2            49           112         
LX2          30           4            178          358         
LX2          23           3            381          513         
LX2          23           4            513          566         
LX2          19           6            566          783         
LX2          17           7            783          821         
LX2          11           4            821          947         
LX2          17           8            947          975         
LX2          17           9            975          990         
LX2          49           2            990          1013        
LX2          11           5            1013         1029        
LX2          35           6            1059         1203        
LX2          13           4            1203         1329        
LX2          13           5            1329         1345        
LX2          11           7            1345         1357        
LX2          42           4            1357         1374        
LX2          14           4            1389         1515        
LX2          7            12           1519         1555        
LX2          29           4            1555         1735        
LX2          7            16           1749         1759        
LX2          7            17           1759         1765        
LX2          32           8            1765         1788        
LX2          26           5            1788         1836        
LX2          5            16           1838         1848        
LX2          8            10           1848         2156        
LX2          34           6            2156         2234        
LX2          18           6            2234         2272        
LX2          33           8            2272         2295        
LX2          52           4            2295         2301        
LX2          8            15           2302         2310        
LX2          8            16           2310         2320        
LX2          18           7            2320         2358        
LX2          38           7            2358         2808        
LX2          38           8            2808         2835        
LX2          56           8            2835         2910        
LX2          24           4            2910         2963        
LX2          24           5            2963         3053        
LX2          10           4            3053         3179        
LX2          43           3            3179         3236        
LX2          10           5            3236         3252        
LX2          36           7            3259         3415        
LX2          45           6            3415         3452        
LX2          52           6            3452         3488        
LX2          44           3            3488         3545        
LX2          16           6            3545         3564        
LX2          54           5            3564         3654        
LX2          54           6            3654         3666        
LX2          54           8            3702         3717        
LX2          37           8            3721         3748        
LX3          23           1            0            315         
LX3          30           5            358          448         
LX3          38           4            448          478         
LX3          40           2            478          541         
LX3          23           5            566          656         
LX3          30           7            656          679         
LX3          5            9            679          693         
LX3          17           6            693          731         
LX3          23           7            731          765         
LX3          23           8            765          779         
LX3          43           2            779          791         
LX3          28           4            814          994         
LX3          19           9            994          1018        
LX3          27           5            1018         1108        
LX3          9            4            1108         1234        
LX3          28           5            1234         1324        
LX3          27           6            1324         1376        
LX3          5            10           1376         1684        
LX3          27           7            1684         1707        
LX3          8            9            1707         1721        
LX3          7            13           1721         1733        
LX3          1            7            1733         1781        
LX3          6            9            1781         1795        
LX3          51           5            1795         1801        
LX3          45           4            1801         1807        
LX3          5            13           1810         1822        
LX3          5            14           1822         1830        
LX3          29           5            1830         1920        
LX3          35           8            1930         2098        
LX3          18           5            2098         2143        
LX3          29           7            2143         2166        
LX3          26           6            2166         2189        
LX3          13           6            2189         2208        
LX3          14           5            2208         2224        
LX3          14           6            2224         2243        
LX3          8            12           2246         2282        
LX3          8            14           2294         2302        
LX3          34           8            2302         2325        
LX3          24           3            2325         2457        
LX3          37           5            2457         2487        
LX3          20           5            2487         2655        
LX3          37           6            2655         2691        
LX3          52           5            2691         2697        
LX3          41           4            2697         2714        
LX3          6            11           2730         2820        
LX3          6            13           2856         2868        
LX3          6            15           2876         2884        
LX3          12           4            2884         3010        
LX3          36           5            3010         3115        
LX3          36           6            3115         3259        
LX3          16           4            3259         3385        
LX3          16           5            3385         3401        
LX3          36           8            3415         3583        
LX3          15           4            3583         3709        
LX3          15           5            3709         3725        
WYM1         46           7            1085         1117        
WYM1         42           5            1374         1473        
WYM1         32           9            1788         2068        
WYM1         51           7            2068         2208        
WYM1         50           7            2208         2244        
WYM1         49           7            2244         2280        
WYM1         34           9            2325         2605        
WYM1         33           9            2605         2885        
WYM1         55           10           2885         2895        
WYM1         41           5            2895         2994        
WYM1         31           9            3134         3414        
WYM1         56           10           3423         3433        
WYM1         45           7            3452         3484        
WYM1         52           7            3488         3628        
XQG1         46           5            907          1027        
XQG1         7            18           1765         2065        
XQG1         8            18           2326         2626        
XQG1         6            18           2900         3200        
XQG1         43           4            3236         3275        
XQG1         5            18           3275         3575        
XQG1         44           4            3575         3614        
Z1           19           4            211          250         
Z1           53           4            339          567         
Z1           30           6            567          619         
Z1           30           8            679          775         
Z1           19           7            783          807         
Z1           19           8            807          837         
Z1           53           8            837          873         
Z1           5            15           1830         1838        
Z1           45           5            1838         1958        
Z1           26           7            2189         2212        
Z1           14           7            2243         2255        
