1.333333333E-1	-4.092440777E1	-2.548907592E0
1.666666667E-1	-6.553300755E1	1.094613100E1
2.000000000E-1	-8.696630413E1	1.531217289E1
2.666666667E-1	-1.104274435E2	3.494727469E1
3.000000000E-1	-1.160855968E2	4.484904286E1
3.333333333E-1	-1.167928659E2	5.757988765E1
3.666666667E-1	-1.189146734E2	6.182350259E1
4.000000000E-1	-1.189146734E2	6.465257921E1
4.333333333E-1	-1.210364809E2	6.889619414E1
4.666666667E-1	-1.210364809E2	6.889619414E1
5.000000000E-1	-1.210364809E2	6.889619414E1
5.333333333E-1	-1.203292117E2	6.323804090E1
5.666666667E-1	-1.210364809E2	5.192173441E1
6.000000000E-1	-1.217437500E2	4.697085033E1
6.333333333E-1	-1.245728266E2	3.777635131E1
6.666666667E-1	-1.281091724E2	3.353273638E1
7.000000000E-1	-1.309382490E2	2.646004483E1
7.333333333E-1	-1.308686055E2	2.399961484E1
7.666666667E-1	-1.343346886E2	1.801274394E1
8.000000000E-1	-1.406366580E2	1.202587305E1
8.333333333E-1	-1.453631350E2	1.013528224E1
8.666666667E-1	-1.472537258E2	9.189986832E0
9.000000000E-1	-1.532405967E2	-1.838459557E0
9.333333333E-1	-1.563915814E2	-3.413951898E0
9.666666667E-1	-1.611180584E2	-6.880035049E0
1.000000000E0	-1.642690431E2	-1.223670901E1
1.033333333E0	-1.693106186E2	-1.286690595E1
1.066666667E0	-1.712012094E2	-1.538769369E1
1.100000000E0	-1.752974895E2	-2.042926919E1
1.133333333E0	-1.834900497E2	-2.673123855E1
1.166666667E0	-1.860108374E2	-3.114261711E1
1.200000000E0	-1.919977083E2	-3.114261711E1
1.233333333E0	-1.979845792E2	-3.618419260E1
1.266666667E0	-1.957788899E2	-4.122576809E1
1.300000000E0	-2.008204654E2	-4.626734358E1
1.333333333E0	-2.033412532E2	-5.351460835E1
1.366666667E0	-2.071224348E2	-5.761088844E1
1.400000000E0	-2.121640103E2	-6.328266087E1
1.433333333E0	-2.162602904E2	-6.454305474E1
1.466666667E0	-2.228773582E2	-7.399600879E1
1.500000000E0	-2.272887368E2	-7.872248582E1
1.533333333E0	-2.351661985E2	-8.565465212E1
1.566666667E0	-2.380020847E2	-9.069622761E1
1.600000000E0	-2.424134632E2	-9.542270463E1
1.633333333E0	-2.502909249E2	-1.026699694E2
1.666666667E0	-2.540721066E2	-1.114927265E2
1.700000000E0	-2.597438790E2	-1.203154836E2
1.733333333E0	-2.673062422E2	-1.200003852E2
1.766666667E0	-2.685666361E2	-1.256721576E2
1.800000000E0	-2.836913626E2	-1.436327703E2
1.833333333E0	-2.899933319E2	-1.534008228E2
1.866666667E0	-2.969254982E2	-1.622235799E2
1.900000000E0	-3.073237477E2	-1.666349585E2
1.933333333E0	-3.167767017E2	-1.735671248E2
1.966666667E0	-3.227635726E2	-1.811294880E2
2.000000000E0	-3.322165267E2	-1.871163589E2
2.033333333E0	-3.400939884E2	-1.940485252E2
2.066666667E0	-3.479714501E2	-2.025561838E2
2.100000000E0	-3.486016470E2	-2.110638425E2
2.133333333E0	-3.618357827E2	-2.211469935E2
2.166666667E0	-3.678226536E2	-2.277640613E2
2.200000000E0	-3.823171831E2	-2.321754399E2
2.233333333E0	-3.854681678E2	-2.394227046E2
2.266666667E0	-3.924003341E2	-2.447793786E2
2.300000000E0	-3.996475989E2	-2.558078250E2
2.333333333E0	-4.150874238E2	-2.671513698E2
2.366666667E0	-4.286366580E2	-2.797553086E2
2.400000000E0	-4.384047105E2	-2.873176718E2
2.433333333E0	-4.453368768E2	-2.955102320E2
2.466666667E0	-4.560502247E2	-3.033876937E2
